population,length,memory,time
1000,100,1677721,7.59
1000,1000,2306867,14.78
1000,1533,2936012,14.7
1000,50,1677721,12.65
1000,500,1887436,12.83
10000,100,5662310,828.32
10000,1000,11219763,860.46
10000,1533,16567500,423.53
10000,50,5976883,394.55
10000,500,7759462,837.65
5000,100,3774873,215.68
5000,1000,6396313,227.58
5000,1533,8912896,242.03
5000,50,3250585,216.53
5000,500,4508876,219.83
50000,100,24851251,19861.0
50000,1000,51799654,20320.0
50000,1533,77909196,20550.0
50000,50,24222105,20177.0
50000,500,34498150,20270.0
15000,100,8598323,1828.13
15000,1000,16882073,1872.89
15000,1533,24641536,1915.3
15000,50,7864320,1829.21
15000,500,11429478,1845.46
20000,100,10380902,3258.4
20000,1000,21495808,3263.82
20000,1533,31666995,3325.08
20000,50,10590617,3211.35
20000,500,14155776,3239.16
3000,100,2621440,87.06
3000,1000,4299161,89.31
3000,1533,6081740,93.21
3000,50,2516582,82.72
3000,500,3145728,88.57
7000,100,4299161,425.35
7000,1000,8598323,436.89
7000,1533,12268339,460.82
7000,50,4508876,412.69
7000,500,5872025,425.9
30000,100,15833497,6997.0
30000,1000,30932992,7066.0
30000,1533,47395635,7112.0
30000,50,15099494,6985.0
30000,500,20447232,7030.0
40000,100,19818086,12176.0
40000,1000,41838182,12283.0
40000,1533,62809702,12340.0
40000,50,19608371,12146.0
40000,500,27472691,12241.0
